Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;1;;;;
Cancel;0;0;6;6;7;5
Hochziehen einer Solution;0;0;2;2;1;1
JobVerarbeiten;0;0;4;4;3;2
LockMode;0;0;2;1;2;1
Sitzung;0;0;5;5;5;4
Ekpr_import_schnittstelle;0;1;;;;
SignaturVorgang;0;0;5;5;5;5
Reperatur;0;0;5;5;5;4
TraceNummer;0;0;5;6;6;4
Notebook_Aufsetzen;0;0;6;7;6;6
TransportmittelFürFahrtenbuch;0;0;5;6;7;6
Inventur;0;1;;;;
BMD_updates;0;1;;;;
Fakturen;0;1;;;;
KommSchein;0;0;2;2;3;2
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;1;;;;
Benutzerberechtigungen;0;1;;;;
Architektur_Aus_Anwendersicht;0;1;;;;
Nachrichten;0;1;;;;
Klumpat_Attribut;0;0;4;4;2;2
Auswahldialog;0;0;2;2;2;2
löschen;0;1;;;;
inventurstorno;0;1;;;;
spl_Termin_neuberechnen;0;0;6;5;7;6
JobVerarbeitung_auslösen;0;0;3;2;2;2
Debitor;0;0;2;1;1;1
ViewUnitRetrieveType;0;0;2;3;2;2
MarkdownFile;0;0;6;7;6;6
Datencontext;0;0;5;4;6;5
db_export;0;1;;;;
speichern_neuanlage;0;0;4;5;3;3
DatenobjekttypFürAnweisung;0;1;;;;
Kassa;0;0;5;5;5;5
Auftragsanlage;0;1;;;;
Job_wartezeitfürwiederausführung;0;0;3;6;3;2
Transaktion;0;0;7;7;7;7
speichern_änderungsmodus;0;0;2;3;2;1
Solution_releasen;0;0;4;6;2;3
Deploy_Ordner;0;1;;;;
BsIndikator;0;1;;;;
Warenbeschaffung;0;0;4;5;4;3
Fehlerbehandlung;0;0;2;2;2;1
Verkaufspreisfindung;0;1;;;;
Kommissionierung;0;0;4;5;3;2
Saisonware;0;0;3;3;2;2
Sql_Phase1_2_3;0;1;;;;
